month,day,year,location,time,diver,depth_low,depth_upper,diameter,radius,depth,feeding,notes
November,15,2010,Moody Inlet,42,Isa,3,6,47,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Isa,3,6,50,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Isa,3,6,54,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Isa,3,6,58,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Isa,3,6,57,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Isa,3,6,58,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,60,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,53,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,40,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,62,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,48,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,81,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,50,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,58,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,46,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,60,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,53,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,42,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,66,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,47,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,70,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,55,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,59,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,56,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,56,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,50,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,48,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Evan,3,6,56,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,56,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,66,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,57,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,64,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,50,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,56,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,58,N/A,N/A,N/A,
November,15,2010,Moody Inlet,42,Enr,3,6,40,N/A,N/A,N/A,
